patent_no,title,
6318070,Variable area nozzle for gas turbine engines driven by shape memory alloy actuators,
6316129,"Thin, forged magnesium alloy casing and method for producing same",
6316126,Aluminum alloy clad material for heat exchangers exhibiting excellent erosion-corrosion resistance,
6315948,"Weldable anti-corrosive aluminum-magnesium alloy containing a high amount of magnesium, especially for use in automobiles",
6315947,Free-machining aluminum alloy and method of use,
6315842,Thick alznmgcu alloy products with improved properties,
6315820,Method of manufacturing thin metal alloy foils,
6313064,Alloy having antibacterial effect and sterilizing effect,
6312643,Synthesis of nanoscale aluminum alloy powders and devices therefrom,
6312532,Ferritic-austenitic steel alloy,
6312531,Magnetic composite article and manufacturing method of the same and soft magnetic powder of Fe-Al-Si system alloy used in the composite article,
6309779,Hydrogen storage alloy electrode and method for manufacturing the same,
6309761,Process of aluminizing steel to obtain and interfacial alloy layer and product therefrom,
6309481,Aluminum casting alloy,
6309480,Cylinder liner comprising a supereutectic aluminum/silicon alloy for sealing into a crankcase of a reciprocating piston engine,
6307307,Spark plug for internal combustion engine with Ir alloy molten portion outside spark discharge region,
6306671,Method of manufacture of a shape memory alloy ink jet printer,
6306458,Process for recycling vapor phase aluminiding donor alloy,
6306342,Aluminum casting alloy,
6306231,Method of producing light metal alloy material for plastic working and plastic-worked product,
6306229,Method for production of invar alloy steel sheet material for shadow mask,
6306228,Method of producing amorphous alloy excellent in flexural strength and impact strength,
6306175,Titanium alloy hip prosthesis,
6306141,Medical devices incorporating SIM alloy elements,
6305666,Valve seat made of Fe-based sintered alloy excellent in wear resistance,
6303237,Ferritic alloy for constructions,
6303235,Copper-based sliding alloy,
6303075,High temperature oxidation resistant alloy materials and method of producing the same,
6303069,Process for the production of a polymer alloy,
6303008,Rotating film carrier and aperture for precision deposition of sputtered alloy films,
6302973,High strength Al-Mg-Zn-Si alloy for welded structures and brazing application,
6302940,Chemical synthesis of monodisperse and magnetic alloy nanocrystal containing thin films,
6302937,Sintered alloy having superior wear resistance,
6301089,Spin-valve type magnetoresistive thin film element comprising free magnetic layer having nife alloy layer,
6300010,Hydrogen absorbing alloy powder for use in the negative electrodes of alkaline rechargeable batteries and process for producing the same,
6300007,Lead alloy for lead-acid battery terminals,
6299835,Cadmium-free silver alloy as low-melting brazing filler material,
6299834,Heat-resistant magnesium alloy,
6299832,Process and apparatus for supplying rare earth metal-based alloy powder,
6299708,"Carbide dispersed, strengthened copper alloy",
6299703,Process for fabricating improved iron-cobalt magnetostrictive alloy and article comprising alloy,
6297142,Method for bonding a semiconductor chip to a lead-patterning substrate using a gold/tin alloy,
6296953,Steel alloy for compound tubes,
6296948,Amorphous metal alloy strip and method of making such strip,
6296722,Lead-free solder alloy,
6296720,Rare earth/iron/boron-based permanent magnet alloy composition,
6296681,Sinter and casting comprising Fe-based high-hardness glassy alloy,
6294738,Silver and silver alloy articles,
6294461,Structure for contact formation using a silicon-germanium alloy,
6294272,Aluminium alloy for use as core material in brazing sheet,
6294132,TiAl intermetallic compound-based alloy,
6293990,Aluminum alloy semi-finished product manufacturing process using recycled raw materials,
6290748,TiB2 particulate ceramic reinforced Al-alloy metal-matrix composites,
6289715,System for analyzing the atmosphere in an enclosure for soldering or tinning by means of a metal alloy,
6287725,Sintered hydrogen storage alloy electrode and nickel-hydrogen storage battery,
6287514,Sinter and casting comprising Fe-based high-hardness glassy alloy,
6287398,High strength alloy tailored for high temperature mixed-oxidant environments,
6287364,Method for producing copper alloy ingot,
6286750,Method of manufacturing beryllium-copper alloy hot isostatic press (HIP) bonded body and hip-bonded body,
6286210,Method for producing a cylinder liner blank to be cast into a light-alloy crankcase of a reciprocating engine,
6284409,Pasted hydrogen-absorbing alloy electrode for alkaline storage battery,
6284386,Aluminum alloy products with high resistance to pitting corrosion,
6284122,Production of a zinc-aluminum alloy coating by immersion into molten metal baths,
6284071,Titanium alloy having good heat resistance and method of producing parts therefrom,
6284066,Process for producing hydrogen absorbing alloy powder and hydrogen absorbing alloy electrode,
6284061,Soft magnetic amorphous alloy and high hardness amorphous alloy and high hardness tool using the same,
6284058,Method of aluminizing metal alloys by weld overlay using aluminum and aluminum alloy filler metal,
6284053,Selective deleading process and bath for plumbing components made of a copper alloy,
6281157,Self-catalytic bath and method for the deposition of a nickel-phosphorus alloy on a substrate,
6280858,Substrate with solder alloy for mounting electronic parts,
6280796,Method of producing a slide surface on a light metal alloy,
6280541,Seamless copper alloy tube for heat exchanger being excellent in 0.2% proof stress and fatigue strength,
6280536,Fe based hard magnetic alloy having super-cooled liquid region,
6280185,Orthodontic appliance with improved precipitation hardening martensitic alloy,
6278590,High moment laminated layer with nickel cobalt or nickel iron cobalt based alloy layer for first pole piece of write head,
6278084,Method of making a distributed activator for a two-dimensional shape memory alloy,
6278057,Medical devices incorporating at least one element made from a plurality of twisted and drawn wires at least one of the wires being a nickel-titanium alloy wire,
6277519,Method for making hydrogen storage alloy powder and electrode comprising the alloy powder,
6277219,Damage tolerant aluminum alloy product and method of its manufacture,
6277217,Aluminum alloy for die-cast product having a high-toughness,
6277213,Surface treatment of steel or a nickel alloy and treated steel or nickel alloy,
6277212,Amorphous metal alloy strip and method of making such strip,
6276847,Shutter mechanism including self-timer with shaped memory alloy control for camera,
6276597,Tip cap hole brazing and oxidation resistant alloy therefor,
6274882,Indium-based alloy and an infrared transducer using such an alloy,
6274200,Method for preparing pre-coated ferrous-alloy components and components prepared thereby,
6274194,Hydrogen absorbing alloy powder and method for producing hydrogen absorbing alloy powder,
6273970,Aluminum-bismuth bearing alloy and methods for its continuous casting,
6273967,Low boron amorphous alloy and process for producing same,
6273888,Device and method for selectively preventing the locking of a shape-memory alloy coupling system,
6272857,Shape memory alloy actuator,
6270842,Method of galvanizing with molten zinc-aluminum alloy,
6270719,"Modified electrochemical hydrogen storage alloy having increased capacity, rate capability and catalytic activity",
6270594,Composition and method for producing an alloy steel and a product therefrom for structural applications,
6270593,"Mn alloy materials for magnetic materials, Mn alloy sputtering targets, and magnetic thin films",
6270589,Method of manufacturing resin coated aluminum alloy plates for drawn and ironed cans,
6270547,Hydrogen absorbing alloy electrode and process for fabricating same,
6269944,Channeled beam extruded of aluminum alloy for crane or conveyor,
6268084,Hydrogen-absorbing alloy and secondary battery,
6267831,Method of making a titanium or titanium alloy strip having a decorative surface appearance,
6267828,Low alloy steel for oil country tubular goods and method of making,
